,restaurant,url,distance,star,num_reviews,city,price_range,cuisine,cuisine_label
2631,MILA,https://www.doordash.com/store/1207895/?pickup=false,0.7,4.7,1000,Vancouver,$$,,
2632,Bubble Waffle Cafe é¸¡èä»,https://www.doordash.com/store/737560/?pickup=false,0.17,4.4,190,Vancouver,$,East Asian,Chinese
2633,Hapa Izakaya,https://www.doordash.com/store/31007/?pickup=false,0.5,4.5,458,Vancouver,$$,East Asian,Japanese
2634,Assembli Pizza,https://www.doordash.com/store/2235132/?pickup=false,0.15,4.5,103,Vancouver,$$,European,Italian
2635,Castella Cheesecake,https://www.doordash.com/store/1342379/?pickup=false,0.7,4.6,207,Vancouver,$$,,
2636,The Irish Heather,https://www.doordash.com/store/955328/?pickup=false,0.8,4.8,87,Vancouver,$$,,
2637,La Loteria Mexican Street Food,https://www.doordash.com/store/1622957/?pickup=false,0.4,4.3,30,Vancouver,$$,North American,Mexican
2638,Sushi Howe,https://www.doordash.com/store/901432/?pickup=false,0.6,4.7,99,Vancouver,$$,East Asian,Japanese
2639,COBS Bread,https://www.doordash.com/store/610568/?pickup=false,0.8,4.7,930,Vancouver,$$,,
2640,Ba Le Deli and Bakery,https://www.doordash.com/store/397879/?pickup=false,1.7,4.7,990,Vancouver,$$,,
2641,Trumps Fine Food Merchants,https://www.doordash.com/store/906558/?pickup=false,1.1,4.3,30,Vancouver,$$,,
2642,Megabite Pizza,https://www.doordash.com/store/823004/?pickup=false,0.4,4.2,327,Vancouver,$$,,
2643,Beyond Coffee,https://www.doordash.com/store/22968403/?pickup=false,0.6,4.8,63,Vancouver,$$,,
2644,Chef Hung Taiwan Bistro 990,https://www.doordash.com/store/23026241/?pickup=false,0.4,4.6,19,Vancouver,$$,,
2645,Meet Fresh é²ä»,https://www.doordash.com/store/1727251/?pickup=false,0.7,4.7,117,Vancouver,$$,,
2646,e-mo restaurant,https://www.doordash.com/store/905951/?pickup=false,0.2,4.4,222,Vancouver,$$,East Asian,Korean
2647,White Spot,https://www.doordash.com/store/916885/?pickup=false,0.13,4.6,1000,Vancouver,$$,,
2648,Blackball Robson,https://www.doordash.com/store/2374310/?pickup=false,0.7,5,1,Vancouver,$$,,
2649,Kind Cafe,https://www.doordash.com/store/787379/?pickup=false,1.7,4.8,92,Vancouver,$$,,
2650,The Wallflower Modern Diner,https://www.doordash.com/store/28192/?pickup=false,1.3,4.4,1000,Vancouver,$$,North American,American
2651,Dank Mart,https://www.doordash.com/store/1767743/?pickup=false,0.6,4.9,42,Vancouver,$$,,
2652,Westcoast Poke,https://www.doordash.com/store/69710/?pickup=false,1.1,4.6,2000,Vancouver,$$,East Asian,Asian
2653,Incognito Coffee,https://www.doordash.com/store/1639865/?pickup=false,0.2,4.6,101,Vancouver,$$,,
2654,Caffe mira,https://www.doordash.com/store/890783/?pickup=false,0.7,4.6,134,Vancouver,$$,,
2655,Keto Caveman Davie,https://www.doordash.com/store/1765686/?pickup=false,0.9,4.4,401,Vancouver,$$,,
2656,Legendary Noodle House é£¤©,https://www.doordash.com/store/31029/?pickup=false,1.3,4.4,800,Vancouver,$$,East Asian,Chinese
2657,Best Burrito,https://www.doordash.com/store/101808/?pickup=false,1.3,4.6,54,Vancouver,$$,North American,Mexican
2658,Stop n Go Convenience Store,https://www.doordash.com/store/1242211/?pickup=false,0.7,5,1,Vancouver,$$,,
2659,Gilaneh Grill House,https://www.doordash.com/store/446088/?pickup=false,1.3,4.3,1000,Vancouver,$$,Middle Eastern,Persian
2660,CoCo Fresh Tea & Juice,https://www.doordash.com/store/98534/?pickup=false,0.3,4.6,690,Vancouver,$,,
2661,Pho Extreme Xe Lua,https://www.doordash.com/store/446024/?pickup=false,1.2,4.3,500,Vancouver,$$,Southeast Asian,Vietnamese
2662,Kintaro Ramen,https://www.doordash.com/store/1431642/?pickup=false,1.2,4.5,442,Vancouver,$$,East Asian,Japanese
2663,Captain's Oven Pizza,https://www.doordash.com/store/2537968/?pickup=false,0.6,4.6,265,Vancouver,$$,,
2664,Katsuya,https://www.doordash.com/store/2358742/?pickup=false,0.9,4.7,104,Vancouver,$$,East Asian,Japanese
2665,Hot Star Large Fried Chicken,https://www.doordash.com/store/1010956/?pickup=false,0.3,4.4,76,Vancouver,$$,East Asian,Korean
2666,International Sandwich Factory - Vancouver,https://www.doordash.com/store/23191955/?pickup=false,1.3,4.6,15,Vancouver,$$,,
2667,Moderne Burger,https://www.doordash.com/store/31045/?pickup=false,1.2,4.7,740,Vancouver,$,North American,American
2668,AL HADBAH DONAIR,https://www.doordash.com/store/1542321/?pickup=false,1,4.6,141,Vancouver,$$,,
2669,Rocky Mtn Chocolate,https://www.doordash.com/store/779728/?pickup=false,0.4,4.7,343,Vancouver,$$,,
2670,Waffleland Cafe,https://www.doordash.com/store/2272456/?pickup=false,0.5,4.3,19,Vancouver,$$,,
2671,Rogue Kitchen & Wetbar,https://www.doordash.com/store/1709937/?pickup=false,0.4,4.7,205,Vancouver,$$,,
2672,To Dine For Eatery,https://www.doordash.com/store/1312632/?pickup=false,1,4.7,69,Vancouver,$$,North American,American
2673,Falafel King,https://www.doordash.com/store/937041/?pickup=false,1.3,4.4,150,Vancouver,$$,Middle Eastern,Lebanese
2674,Fixins Mac n' Chicken,https://www.doordash.com/store/1794065/?pickup=false,0.9,4.5,368,Vancouver,$$,,
2675,Osaka Sushi,https://www.doordash.com/store/98374/?pickup=false,2.2,4.6,348,Vancouver,$$,East Asian,Japanese
2676,BOCA'O,https://www.doordash.com/store/1088495/?pickup=false,1.2,4.6,153,Vancouver,$$,,
2677,Mia Pasta,https://www.doordash.com/store/23057229/?pickup=false,0.5,4.2,23,Vancouver,$,,
2678,Papaya Hut Restaurant,https://www.doordash.com/store/98418/?pickup=false,1.8,4.6,860,Vancouver,$,Southeast Asian,Thai
2679,Chai69 Cafe,https://www.doordash.com/store/976031/?pickup=false,1.5,4.4,86,Vancouver,$$,South Asian,Indian
2680,Tim Hortons,https://www.doordash.com/store/1040293/?pickup=false,0.2,4.1,268,Vancouver,$$,North American,Canadian
2681,Panago Pizza,https://www.doordash.com/store/1308732/?pickup=false,0.6,4.7,500,Vancouver,$$,,
2682,Kevin & Kevin Juice,https://www.doordash.com/store/1747573/?pickup=false,0.8,4.6,182,Vancouver,$$,,
2683,Pizza Hut,https://www.doordash.com/store/942765/?pickup=false,1.1,4.5,1000,Vancouver,$$,European,Italian
2684,Shanghai Lu ä¸æµ·é®¶,https://www.doordash.com/store/98456/?pickup=false,1.2,4.5,770,Vancouver,$$,East Asian,Chinese
2685,Panne Rizo Gluten Free Bakery,https://www.doordash.com/store/31659/?pickup=false,1.6,4.2,148,Vancouver,$$,,
2686,Cold Tea Restaurant,https://www.doordash.com/store/917668/?pickup=false,0.5,4.7,352,Vancouver,$$,,
2687,RedBeef noodle Kitchen,https://www.doordash.com/store/1095066/?pickup=false,0.7,4.7,580,Vancouver,$$,East Asian,Taiwanese
2688,Pepper Lunch Canada,https://www.doordash.com/store/985210/?pickup=false,1.1,4.4,233,Vancouver,$$,,
