,restaurant,url,distance,star,num_reviews,city,price_range,cuisine,cuisine_label
0,Sector 17,https://www.doordash.com/store/884779/?pickup=false,0.9,4,640,Branpton,$$,South Asian,Indian
1,Golden Palace Restaurant,https://www.doordash.com/store/332454/?pickup=false,2,4,301,Branpton,$$,East Asian,Chinese
2,McDonald's,https://www.doordash.com/store/1140537/?pickup=false,1,4.2,890,Branpton,$$,North American,American
3,San Francisco Place,https://www.doordash.com/store/205349/?pickup=false,0.4,4.4,109,Branpton,$,European,Italian
4,THE BURGER BROS,https://www.doordash.com/store/940617/?pickup=false,0.09,4.5,481,Branpton,$$,North American,American
5,Lazeez Shawarma,https://www.doordash.com/store/567102/?pickup=false,0.9,3.7,730,Branpton,$$,,
6,Fresh Tandoori,https://www.doordash.com/store/303233/?pickup=false,0.9,3.8,1400,Branpton,$$,South Asian,Indian
7,Henry's Fish & Chips,https://www.doordash.com/store/443240/?pickup=false,0.7,4.5,293,Branpton,$$,,
8,Pho Viet Nam Restaurant,https://www.doordash.com/store/205291/?pickup=false,0.04,4.2,50,Branpton,$$,Southeast Asian,Vietnamese
9,Church's Chicken Canada,https://www.doordash.com/store/872402/?pickup=false,1.9,4,1700,Branpton,$,,
10,Punjabi Chaap Corner Canada,https://www.doordash.com/store/1767716/?pickup=false,0.7,4.1,411,Branpton,$$,South Asian,Indian
11,Burger King,https://www.doordash.com/store/60362/?pickup=false,1.5,4,2400,Branpton,$,North American,American
12,Shawarma King,https://www.doordash.com/store/484779/?pickup=false,0.8,4,600,Branpton,$$,Middle Eastern,Middle Eastern
13,Joe's Pizzeria and Spaghetti House,https://www.doordash.com/store/443276/?pickup=false,0.5,4.3,122,Branpton,$$,European,European
14,Kejjis,https://www.doordash.com/store/525423/?pickup=false,0.4,4.4,107,Branpton,$$,African,African
15,Karachi Kitchen,https://www.doordash.com/store/205355/?pickup=false,1.7,4,980,Branpton,$,South Asian,Indian
16,Munchers,https://www.doordash.com/store/1085408/?pickup=false,1,4.3,353,Branpton,$$,,
17,Hakka Village Chinese Restaurant,https://www.doordash.com/store/60279/?pickup=false,1.4,4.2,1800,Branpton,$,East Asian,Chinese
18,7-Eleven,https://www.doordash.com/convenience/store/992614/?pickup=false,0.2,4.1,540,Branpton,$$,,
19,Spicy Island Jerk,https://www.doordash.com/store/567012/?pickup=false,0.2,3.6,19,Branpton,$$,North American,Caribbean
20,Shawarma Corner,https://www.doordash.com/store/205191/?pickup=false,1,4.5,132,Branpton,$,Middle Eastern,Middle Eastern
21,Dairy Queen,https://www.doordash.com/store/1615538/?pickup=false,0.4,4.6,353,Branpton,$$,,
22,Shawarma Point,https://www.doordash.com/store/1130961/?pickup=false,0.7,3.9,31,Branpton,$$,,
23,Shake Therapy,https://www.doordash.com/store/2535823/?pickup=false,0.06,4.6,28,Branpton,$$,,
24,RDs Southern BBQ,https://www.doordash.com/store/443364/?pickup=false,0.5,4.6,197,Branpton,$$,,
25,Angeethi Asli Dhaba,https://www.doordash.com/store/443223/?pickup=false,0.5,4.2,183,Branpton,$$,South Asian,Indian
26,Church's Texas Chicken,https://www.doordash.com/store/1464604/?pickup=false,1.2,4.5,299,Branpton,$$,North American,American
27,Burrito Boyz,https://www.doordash.com/store/205278/?pickup=false,0.8,4.4,404,Branpton,$$,,
28,Sunrise Caribbean Restaurant,https://www.doordash.com/store/205246/?pickup=false,1.7,4.3,321,Branpton,$,North American,Caribbean
29,Bombay Blue,https://www.doordash.com/store/2423883/?pickup=false,0.5,4.7,65,Branpton,$$,South Asian,Indian
30,Pizza Depot,https://www.doordash.com/store/783263/?pickup=false,2.4,4.1,167,Branpton,$,North American,American
31,Yum Shawarma,https://www.doordash.com/store/247731/?pickup=false,2.3,4.3,620,Branpton,$$,,
32,Tadka King,https://www.doordash.com/store/2491717/?pickup=false,0.06,4,47,Branpton,$$,,
33,Fresh Burrito,https://www.doordash.com/store/205362/?pickup=false,0.8,4.1,415,Branpton,$$,North American,Mexican
34,D Spot Dessert Cafe,https://www.doordash.com/store/2571356/?pickup=false,2.3,4.7,52,Branpton,$$,,
35,Nova Grill & Bakery,https://www.doordash.com/store/1555360/?pickup=false,0.2,4.6,38,Branpton,$$,,
36,Kelseys Original Roadhouse,https://www.doordash.com/store/205359/?pickup=false,1.9,4.3,750,Branpton,$$,,
37,Harvey's,https://www.doordash.com/store/205292/?pickup=false,0.7,4.2,760,Branpton,$$,,
38,Balista,https://www.doordash.com/store/2391176/?pickup=false,1.1,4.3,29,Branpton,$$,,
39,Silver Spoon,https://www.doordash.com/store/205215/?pickup=false,1.2,3.8,750,Branpton,$,South Asian,Indian
40,Paradise Chicken,https://www.doordash.com/store/969535/?pickup=false,0.9,4.4,126,Branpton,$$,,
41,Heritage Fish & Chips,https://www.doordash.com/store/60224/?pickup=false,1.6,4.5,299,Branpton,$$,,
42,Osmow's,https://www.doordash.com/store/537072/?pickup=false,0.8,4.2,1000,Branpton,$$,Latin American & Global Fusion,Mediterranean
43,Maguires Irish Pub,https://www.doordash.com/store/894225/?pickup=false,1.2,4.3,39,Branpton,$$,European,Irish
44,Ice Flame,https://www.doordash.com/store/1364946/?pickup=false,0.9,4.6,136,Branpton,$$,,
45,Subway,https://www.doordash.com/store/455065/?pickup=false,0.8,4.2,119,Branpton,$,,
46,Indian Curry Express,https://www.doordash.com/store/787603/?pickup=false,0.04,4.2,99,Branpton,$$,South Asian,Indian
47,Quik Chik,https://www.doordash.com/store/863993/?pickup=false,1.7,4.3,130,Branpton,$$,,
48,Btown Pizza,https://www.doordash.com/store/22919059/?pickup=false,0.8,4.2,88,Branpton,$$,European,Italian
49,New York Fried Chicken And Burger,https://www.doordash.com/store/541682/?pickup=false,0.9,4.1,86,Branpton,$$,,
50,PizzaEdge,https://www.doordash.com/store/348807/?pickup=false,1.8,4,132,Branpton,$$,,
51,Hero Certified Burgers,https://www.doordash.com/store/205306/?pickup=false,2,4,1200,Branpton,$,,
52,BarBurrito,https://www.doordash.com/store/566973/?pickup=false,1.9,4.3,530,Branpton,$$,North American,Mexican
53,Freshly Thai,https://www.doordash.com/store/2855908/?pickup=false,0.06,4.7,30,Branpton,$$,Southeast Asian,Thai
54,KFC,https://www.doordash.com/store/973575/?pickup=false,0.8,4.3,242,Branpton,$,,
55,Popeyes Louisiana Kitchen,https://www.doordash.com/store/399190/?pickup=false,0.7,3.8,880,Branpton,$$,,
56,Trish Juice,https://www.doordash.com/store/205969/?pickup=false,0.01,4,131,Branpton,$$,,
57,Pizza Pizza,https://www.doordash.com/store/642880/?pickup=false,0.7,4.2,143,Branpton,$$,European,Italian
58,Royal Indian Sweets and Restaurant,https://www.doordash.com/store/1034606/?pickup=false,1.2,4.1,69,Branpton,$$,South Asian,Indian
59,SeaSide Eats (Resolution Dr),https://www.doordash.com/store/995784/?pickup=false,2,4.4,53,Branpton,$$,,
60,Chai Naka,https://www.doordash.com/store/1565102/?pickup=false,1.1,4.5,21,Branpton,$$,,
61,Vesuvio Ristorante,https://www.doordash.com/store/205973/?pickup=false,0.09,4.3,52,Branpton,$$$$,European,Italian
62,China Palace (CP),https://www.doordash.com/store/205301/?pickup=false,2.1,4,364,Branpton,$$,East Asian,Chinese
63,Grillz Spot,https://www.doordash.com/store/23121460/?pickup=false,1.1,4,1,Branpton,$$,,
64,Epic Burger,https://www.doordash.com/store/2352831/?pickup=false,0.7,4.2,1,Branpton,$$,,
65,Dosa Dosa Inc,https://www.doordash.com/store/2493044/?pickup=false,1.2,4.1,1,Branpton,$,South Asian,Indian
66,Family Pizza,https://www.doordash.com/store/205347/?pickup=false,2.5,3.8,25,Branpton,$$,European,Italian
67,The Wing Spot,https://www.doordash.com/store/1910756/?pickup=false,1.6,4.7,32,Branpton,$$,,
68,Royal Kabob,https://www.doordash.com/store/1866656/?pickup=false,1.2,4.4,65,Branpton,$,South Asian,Afghan
69,Hakka Spoon Inc,https://www.doordash.com/store/2828198/?pickup=false,0.8,4.2,67,Branpton,$$,East Asian,Chinese
70,Gentlemen Chai and Snacks,https://www.doordash.com/store/1423746/?pickup=false,0.9,4.2,97,Branpton,$$,,
71,Wild Wing,https://www.doordash.com/store/205219/?pickup=false,0.9,3.8,149,Branpton,$$,,
72,Heritage India,https://www.doordash.com/store/23026115/?pickup=false,1.2,4.2,1,Branpton,$$,,
73,Street Bitez,https://www.doordash.com/store/2466126/?pickup=false,1.6,4.2,88,Branpton,$$,,
74,Pita Pit,https://www.doordash.com/store/731293/?pickup=false,0.04,4.4,208,Branpton,$,,
75,Blackstone Steakhouse and Grill,https://www.doordash.com/store/1390658/?pickup=false,0.13,4.4,26,Branpton,$$,European,Italian
76,Kin-Kin Bakery & Bubble Tea,https://www.doordash.com/store/1697153/?pickup=false,1.7,4.6,18,Branpton,$$,,
77,9 Queen Chinese Cuisine ,https://www.doordash.com/store/543203/?pickup=false,0.04,4.2,54,Branpton,$$,East Asian,Chinese
78,Booster Juice,https://www.doordash.com/store/823716/?pickup=false,1.9,4.6,260,Branpton,$$,,
79,Circle K,https://www.doordash.com/convenience/store/1288755/?pickup=false,0.4,4.4,29,Branpton,$$,,
80,Fusion Pub & Pool,https://www.doordash.com/store/1447709/?pickup=false,1.7,4.3,13,Branpton,$$,,
81,Tribal Wings,https://www.doordash.com/store/2355773/?pickup=false,0.7,4.2,1,Branpton,$$,,
82,A&W Canada,https://www.doordash.com/store/487285/?pickup=false,1.4,4,920,Branpton,$$,North American,Canadian
83,241 Pizza,https://www.doordash.com/store/987360/?pickup=false,0.9,4.5,96,Branpton,$$,,
84,Little Caesars Pizza,https://www.doordash.com/store/1148958/?pickup=false,1.6,4.4,112,Branpton,$$,European,Italian
85,Swiss Chalet,https://www.doordash.com/store/205275/?pickup=false,2.2,4.5,481,Branpton,$$,,
86,Smoke's Poutinerie,https://www.doordash.com/store/586809/?pickup=false,2.1,4,295,Branpton,$$,,
87,Second Cup,https://www.doordash.com/store/961068/?pickup=false,1.9,4.5,89,Branpton,$$,,
88,Freshii,https://www.doordash.com/store/511591/?pickup=false,2,4.4,399,Branpton,$$,,
89,The Works Craft Burgers,https://www.doordash.com/store/1638849/?pickup=false,0.06,4.4,69,Branpton,$$,,
90,Grabb-A-Pizza,https://www.doordash.com/store/443213/?pickup=false,1.2,4.6,10,Branpton,$$,,
91,RAPiZZA,https://www.doordash.com/store/2546943/?pickup=false,0.06,5,1,Branpton,$$,,
92,Demetres,https://www.doordash.com/store/205282/?pickup=false,2.6,4.4,1000,Branpton,$$,European,Belgian
93,Queen Eatery,https://www.doordash.com/store/22931357/?pickup=false,0.8,4.5,56,Branpton,$$,,
94,Pepper Shack,https://www.doordash.com/store/774234/?pickup=false,0.9,4.2,96,Branpton,$$,,
95,Eggsmart,https://www.doordash.com/store/1016015/?pickup=false,0.8,4.4,296,Branpton,$$,North American,American
96,Yarl Dosa Corner,https://www.doordash.com/store/60307/?pickup=false,1,3.4,96,Branpton,$$,South Asian,Indian
97,Genius Restaurant and Patty,https://www.doordash.com/store/1321977/?pickup=false,1.4,5,15,Branpton,$$,,
98,Sunset Grill,https://www.doordash.com/store/23195858/?pickup=false,0.08,5,1,Branpton,$$,,
99,Deccan Express,https://www.doordash.com/store/1143539/?pickup=false,1.7,4.4,77,Branpton,$$,South Asian,Indian
100,Biryani King,https://www.doordash.com/store/205264/?pickup=false,1.8,4.2,14,Branpton,$$,South Asian,Pakistani
101,Gem's House Of Jerk,https://www.doordash.com/store/205204/?pickup=false,1.7,3.9,412,Branpton,$$,North American,Caribbean
102,Pita Land,https://www.doordash.com/store/2412971/?pickup=false,2,3.8,44,Branpton,$$,,
103,Shop-Mart,https://www.doordash.com/store/22981415/?pickup=false,0.17,,1,Branpton,$$,,
104,YUM YUM RESTAURANT - JAMAICAN CUISINE,https://www.doordash.com/store/1099372/?pickup=false,0.11,4.3,27,Branpton,$$,North American,Jamaican
105,Sarbat Foods,https://www.doordash.com/store/1618649/?pickup=false,0.2,3.5,1,Branpton,$$,South Asian,Indian
106,3MS African Market,https://www.doordash.com/convenience/store/1691950/?pickup=false,0.4,5,1,Branpton,$$,,
107,Shy Lounge INC,https://www.doordash.com/store/296119/?pickup=false,0.4,3.1,31,Branpton,$$,East Asian,Chinese
108,bonfirehouse,https://www.doordash.com/store/22980649/?pickup=false,0.17,,1,Branpton,$$,,
109,RAPiZZA,https://www.doordash.com/store/1725420/?pickup=false,0.06,,1,Branpton,$,,
110,Dolcezza Custom Cakes,https://www.doordash.com/store/1882403/?pickup=false,0.09,,1,Branpton,$$,,
111,Sharm's Mediterranean Restaurant,https://www.doordash.com/store/23462259/?pickup=false,0.2,,1,Branpton,$$,Latin American & Global Fusion,Mediterranean
112,Warraich Meats,https://www.doordash.com/store/366045/?pickup=false,1.9,3.9,417,Branpton,$$,South Asian,Indian
113,Culinarystars by chef harminder,https://www.doordash.com/store/1221412/?pickup=false,1.2,,1,Branpton,$$,South Asian,Indian
114,Mumbaiya Khau Galli,https://www.doordash.com/store/1617461/?pickup=false,1.6,5,1,Branpton,$$,South Asian,Indian
115,Spice Dera,https://www.doordash.com/store/2561499/?pickup=false,1,2.8,1,Branpton,$$,,
116,Burrito Bandidos,https://www.doordash.com/store/1609909/?pickup=false,1.9,3.1,32,Branpton,$$,North American,Mexican
117,Fyah Side Jamaican Grill,https://www.doordash.com/store/1663400/?pickup=false,2.6,4.3,1,Branpton,$$,North American,Jamaican
118,Cactus Club Cafe,https://www.doordash.com/store/99807/?pickup=false,0.3,4.6,13200,Calgary,$$,,
119,Seed N Salt,https://www.doordash.com/store/259849/?pickup=false,0.7,4.7,7700,Calgary,$$,,
120,Hankki Korean Street food,https://www.doordash.com/store/1386910/?pickup=false,1.1,4.8,4700,Calgary,$$,East Asian,Korean
121,JOEY Restaurants,https://www.doordash.com/store/316702/?pickup=false,0.6,4.5,8900,Calgary,$$,,
122,Popeyes Louisiana Kitchen,https://www.doordash.com/store/838937/?pickup=false,1.3,4.3,9500,Calgary,$,North American,American
123,Clive Burger,https://www.doordash.com/store/316790/?pickup=false,0.8,4.6,8000,Calgary,$$,,
124,Paros Souvla,https://www.doordash.com/store/426380/?pickup=false,0.9,4.8,3600,Calgary,$$,European,Greek
125,McDonald's,https://www.doordash.com/store/1058061/?pickup=false,0.2,4.4,2500,Calgary,$,,
126,Native Tongues Taqueria,https://www.doordash.com/store/263167/?pickup=false,0.3,4.7,9300,Calgary,$$,,
127,Dairy Queen,https://www.doordash.com/store/99919/?pickup=false,0.9,4.6,1000,Calgary,$,,
128,Pho HouZ Vietnamese Kitchen,https://www.doordash.com/store/448841/?pickup=false,1.3,4.6,2900,Calgary,$$,Southeast Asian,Vietnamese
129,Fork and Salad,https://www.doordash.com/store/100301/?pickup=false,0.9,4.6,2700,Calgary,$,,
130,Kim Anh Vietnamese Submarines,https://www.doordash.com/store/99632/?pickup=false,0.7,4.6,2800,Calgary,$,Southeast Asian,Vietnamese
131,Earls Kitchen + Bar,https://www.doordash.com/store/2378799/?pickup=false,0.3,4.5,1000,Calgary,$$,North American,Canadian
132,Cluck N Cleaver,https://www.doordash.com/store/255587/?pickup=false,1.4,4.5,3800,Calgary,$$,,
133,Hotshot Liquor Store,https://www.doordash.com/store/1747661/?pickup=false,1.5,4.8,1200,Calgary,$$,,
134,Noodlebox,https://www.doordash.com/store/574712/?pickup=false,0.9,4.5,3900,Calgary,$$,East Asian,Asian
135,Redheads Japa Cafe,https://www.doordash.com/store/100933/?pickup=false,0.6,4.8,2300,Calgary,$$,East Asian,Japanese
136,Gong Cha è´¡è,https://www.doordash.com/store/714913/?pickup=false,0.4,4.7,4600,Calgary,$$,East Asian,Chinese
137,Wow Chicken,https://www.doordash.com/store/387110/?pickup=false,0.5,4.7,2100,Calgary,$$,East Asian,Asian
138,Wise & Wright,https://www.doordash.com/store/174777/?pickup=false,0.3,4.7,2300,Calgary,$$,,
139,Chicken on the Way,https://www.doordash.com/store/99692/?pickup=false,1.5,4.5,3600,Calgary,$,,
140,King's Chinese Food,https://www.doordash.com/store/99674/?pickup=false,1.1,4.4,2800,Calgary,$$,East Asian,Chinese
141,D Spot Dessert Cafe,https://www.doordash.com/store/808214/?pickup=false,1,4.4,2000,Calgary,$$,,
142,Tim Hortons,https://www.doordash.com/store/1159832/?pickup=false,0.4,4.5,920,Calgary,$$,North American,Canadian
143,Shawarma King,https://www.doordash.com/store/100108/?pickup=false,1.4,4.3,3800,Calgary,$,,
144,Don't Yell at Me,https://www.doordash.com/store/900725/?pickup=false,0.7,4.7,1500,Calgary,$$,,
145,CoCo Fresh Tea & Juice,https://www.doordash.com/store/1246984/?pickup=false,0.4,4.8,1400,Calgary,$$,,
146,Browns Socialhouse,https://www.doordash.com/store/99794/?pickup=false,0.9,4.6,1400,Calgary,$,East Asian,Chinese
147,Tandoori Grill,https://www.doordash.com/store/100219/?pickup=false,0.5,4.5,4100,Calgary,$$,South Asian,Indian
148,Holy Grill,https://www.doordash.com/store/316669/?pickup=false,0.8,4.7,1300,Calgary,$$,,
149,Our Daily Brett,https://www.doordash.com/store/287671/?pickup=false,1.8,4.7,1400,Calgary,$$,,
150,Tuk Tuk Thai,https://www.doordash.com/store/1561921/?pickup=false,0.7,4.6,640,Calgary,$$,Southeast Asian,Thai
151,Comery Block Barbecue (638 17th Avenue SW),https://www.doordash.com/store/1132834/?pickup=false,0.7,4.6,640,Calgary,$$,North American,American
152,Meltwich Food Co.,https://www.doordash.com/store/942165/?pickup=false,1.1,4.5,1200,Calgary,$$,,
153,Bodega,https://www.doordash.com/store/98304/?pickup=false,1.2,4.5,1700,Calgary,$$,North American,Mexican
154,Fusion Sushi 17ave,https://www.doordash.com/store/1344103/?pickup=false,1.2,4.5,1200,Calgary,$$,East Asian,Japanese
155,4th Street Pizza,https://www.doordash.com/store/363619/?pickup=false,0.8,4.6,1500,Calgary,$,,
156,Golden Bell,https://www.doordash.com/store/432110/?pickup=false,1.1,4.7,1100,Calgary,$$,Southeast Asian,Vietnamese
157,Pho Kim Restaurant,https://www.doordash.com/store/334511/?pickup=false,1.5,4.6,1800,Calgary,$$,Southeast Asian,Vietnamese
158,V Burger,https://www.doordash.com/store/1017537/?pickup=false,0.9,4.6,1400,Calgary,$$,,
159,South Block Barbecue & Brewing Co.,https://www.doordash.com/store/2390851/?pickup=false,1,4.6,305,Calgary,$$,,
160,The Coup,https://www.doordash.com/store/101990/?pickup=false,1,4.5,3400,Calgary,$$,,
161,Blowers & Grafton Halifax Street Food,https://www.doordash.com/store/1389930/?pickup=false,0.8,4.6,1300,Calgary,$$,,
162,Pho Hoai Vietnamese Noodle House,https://www.doordash.com/store/1710144/?pickup=false,0.4,4.7,364,Calgary,$$,Southeast Asian,Vietnamese
163,Calgary Court Restaurant,https://www.doordash.com/store/316780/?pickup=false,0.5,4.6,2800,Calgary,$$,East Asian,Chinese
164,Milestones Grill + Bar,https://www.doordash.com/store/249814/?pickup=false,0.08,4.5,540,Calgary,$$,,
165,Papa Johns,https://www.doordash.com/store/99954/?pickup=false,1.2,4.4,1500,Calgary,$$,European,Italian
166,Singapore Sam's,https://www.doordash.com/store/99559/?pickup=false,0.5,4.4,1500,Calgary,$$,East Asian,Chinese
167,Carl's Jr,https://www.doordash.com/store/1491637/?pickup=false,1.9,4.5,1000,Calgary,$$,,
168,JusFruit,https://www.doordash.com/store/426436/?pickup=false,1.2,4.5,1000,Calgary,$$,,
169,Po-ke,https://www.doordash.com/store/1241822/?pickup=false,1.1,4.6,1400,Calgary,$,East Asian,Japanese
170,K Street Food,https://www.doordash.com/store/989038/?pickup=false,1.3,4.5,1200,Calgary,$$,,
171,PARLOUR ICE CREAM,https://www.doordash.com/store/2489848/?pickup=false,0.6,5,122,Calgary,$$,,
172,King of Shawarma,https://www.doordash.com/store/99877/?pickup=false,1.3,4.5,1200,Calgary,$$,,
173,Nam Vietnamese Kitchen,https://www.doordash.com/store/100241/?pickup=false,0.8,4.6,660,Calgary,$$,Southeast Asian,Vietnamese
174,Tea Funny,https://www.doordash.com/store/99853/?pickup=false,1.4,4.4,174,Calgary,$$,,
175,The Halal Guys,https://www.doordash.com/store/1761360/?pickup=false,1,4.4,406,Calgary,$$,,
176,Ten Degrees Chocolate,https://www.doordash.com/store/1476087/?pickup=false,0.9,4.7,396,Calgary,$$,,
177,Cinnaholic,https://www.doordash.com/store/2667023/?pickup=false,0.6,4.7,194,Calgary,$$,,
178,Yemeni Village Restaurant,https://www.doordash.com/store/1010906/?pickup=false,0.9,4.6,730,Calgary,$$,,
179,Shawarma and Falafel City,https://www.doordash.com/store/99204/?pickup=false,1.3,4.4,750,Calgary,$,Middle Eastern,Middle Eastern
180,Damascus,https://www.doordash.com/store/99927/?pickup=false,0.8,4.6,820,Calgary,$$,,
181,House of Kabob,https://www.doordash.com/store/100240/?pickup=false,1.3,4.5,1900,Calgary,$$,European,Greek
182,7-Eleven,https://www.doordash.com/store/992258/?pickup=false,0.3,4.4,316,Calgary,$$,,
183,Quesada Burritos & Tacos,https://www.doordash.com/store/99756/?pickup=false,0.4,4.3,191,Calgary,$$,North American,Mexican
184,DashMart,https://www.doordash.com/convenience/store/2456357/?pickup=false,3.3,4.7,27,Calgary,$,,
185,COBS Bread,https://www.doordash.com/store/96482/?pickup=false,1.3,4.6,1000,Calgary,$$,,
186,PurrTea,https://www.doordash.com/store/1584744/?pickup=false,0.9,4.9,120,Calgary,$$,,
187,Blaze Pizza,https://www.doordash.com/store/23046692/?pickup=false,0.8,4.4,81,Calgary,$$,,
188,Jelly Modern Doughnuts,https://www.doordash.com/store/100117/?pickup=false,0.9,4.7,500,Calgary,$$,,
189,Gogi Korean Kitchen,https://www.doordash.com/store/1656408/?pickup=false,0.6,4.7,530,Calgary,$$,East Asian,Korean
190,Shawarma Ave,https://www.doordash.com/store/185630/?pickup=false,0.8,4.6,1400,Calgary,$$,,
191,Big Cheese Poutinerie,https://www.doordash.com/store/93143/?pickup=false,0.8,4.6,880,Calgary,$$,,
192,Ola Poke,https://www.doordash.com/store/194640/?pickup=false,0.6,4.8,600,Calgary,$$,,
193,Rosso Coffee Roasters,https://www.doordash.com/store/567179/?pickup=false,1.2,4.7,436,Calgary,$$,,
194,Regrub Burger Bar,https://www.doordash.com/store/728822/?pickup=false,0.6,4.5,900,Calgary,$,North American,American
195,Sso yummy,https://www.doordash.com/store/951754/?pickup=false,0.5,4.8,470,Calgary,$$,East Asian,Korean
196,YiFang Taiwan Fruit Tea ä¸,https://www.doordash.com/store/751132/?pickup=false,0.6,4.8,830,Calgary,$$,East Asian,Taiwanese
197,Little Caesars Pizza,https://www.doordash.com/store/23117226/?pickup=false,1.7,4.6,89,Calgary,$$,European,Italian
198,Saucy Burger,https://www.doordash.com/store/1876390/?pickup=false,1,4.3,177,Calgary,$$,North American,American
199,Denny's,https://www.doordash.com/store/1868796/?pickup=false,1.2,4.4,426,Calgary,$$,North American,American
200,Freshii,https://www.doordash.com/store/90853/?pickup=false,1.3,4.4,1100,Calgary,$$,,
201,K Town Fried Chicken,https://www.doordash.com/store/1486054/?pickup=false,1.1,4.7,850,Calgary,$$,,
202,Ollia Macarons & Tea,https://www.doordash.com/store/384376/?pickup=false,0.9,4.8,670,Calgary,$$,,
203,Saltlik,https://www.doordash.com/store/100305/?pickup=false,0.06,4.6,940,Calgary,$$,,
204,Ramen Taka Calgary,https://www.doordash.com/store/23287753/?pickup=false,0.9,4.4,24,Calgary,$$,East Asian,Japanese
205,Mirchi,https://www.doordash.com/store/99548/?pickup=false,0.8,4.4,580,Calgary,$$,,
206,Pie Junkie,https://www.doordash.com/store/316682/?pickup=false,1.2,4.7,560,Calgary,$$,,
207,Tsujiri Calgary,https://www.doordash.com/store/1010416/?pickup=false,1.5,4.7,242,Calgary,$$,East Asian,Japanese
208,Greta Bar,https://www.doordash.com/store/972082/?pickup=false,0.17,4.4,360,Calgary,$$,,
209,King Of Donair,https://www.doordash.com/store/1299520/?pickup=false,0.6,4.2,428,Calgary,$$,North American,Canadian
210,Freshslice Pizza,https://www.doordash.com/store/1513667/?pickup=false,0.3,4.4,257,Calgary,$$,European,Italian
211,Calan Beef Noodle,https://www.doordash.com/store/1159282/?pickup=false,1,4.6,384,Calgary,$$,East Asian,Chinese
212,Im Chicken,https://www.doordash.com/store/2784126/?pickup=false,1.4,4.7,207,Calgary,$$,,
213,Wolf Down,https://www.doordash.com/store/2437382/?pickup=false,0.8,4.5,145,Calgary,$,European,German
214,Pizza Hut,https://www.doordash.com/store/1026767/?pickup=false,1.1,4.5,499,Calgary,$$,European,Italian
215,Get Smoked,https://www.doordash.com/store/122859/?pickup=false,2,4.4,435,Calgary,$$,,
216,bb.q Chicken,https://www.doordash.com/store/1060763/?pickup=false,0.3,4.6,620,Calgary,$$,,
217,Shawarma Barlow,https://www.doordash.com/store/743571/?pickup=false,1.1,4.3,980,Calgary,$$,Middle Eastern,Middle Eastern
218,Lotus Vietnamese Noodle House,https://www.doordash.com/store/100903/?pickup=false,0.2,4.3,720,Calgary,$$,Southeast Asian,Vietnamese
219,Kung Fu Tea Calgary,https://www.doordash.com/store/23075936/?pickup=false,1.9,4.8,54,Calgary,$$,,
220,Tu Taco,https://www.doordash.com/store/1805709/?pickup=false,1.4,4.4,154,Calgary,$$,North American,Mexican
221,ThÃ© Moon Tea House,https://www.doordash.com/store/1256215/?pickup=false,0.3,4.7,530,Calgary,$$,,
222,El Charrito Taqueria,https://www.doordash.com/store/519431/?pickup=false,1.1,4.4,1500,Calgary,$$,North American,Mexican
223,Booster Juice,https://www.doordash.com/store/1124230/?pickup=false,0.4,4.7,350,Calgary,$$,,
224,Fusion Sushi and Thai,https://www.doordash.com/store/99725/?pickup=false,0.3,4.4,940,Calgary,$$,East Asian,Japanese
225,MOXIES,https://www.doordash.com/store/364169/?pickup=false,0.8,4.5,251,Calgary,$,,
226,Roys Korean Kitchen,https://www.doordash.com/store/1036586/?pickup=false,0.3,4.7,240,Calgary,$$,East Asian,Korean
227,Pizza Culture,https://www.doordash.com/store/23019463/?pickup=false,1.3,4.5,78,Calgary,$$,,
228,Uzu Taiyaki,https://www.doordash.com/store/1179665/?pickup=false,0.5,4.6,39,Calgary,$,,
229,Prairie Donair,https://www.doordash.com/store/2834675/?pickup=false,1.2,4.2,125,Calgary,$$,,
230,Caffe Artigiano,https://www.doordash.com/store/363643/?pickup=false,0.5,4.8,21,Calgary,$,,
231,The street eatery,https://www.doordash.com/store/1242423/?pickup=false,0.9,4.7,324,Calgary,$$,,
232,Shawarma Station,https://www.doordash.com/store/92988/?pickup=false,1.2,4.4,1000,Calgary,$$,,
233,Ghost Kitchens Presents Cheesecake Factory Bakery,https://www.doordash.com/store/957447/?pickup=false,1.8,4.2,860,Calgary,$$,,
234,Mix Grill,https://www.doordash.com/store/750102/?pickup=false,0.6,3.9,83,Calgary,$$,Latin American & Global Fusion,Mediterranean
235,Trung Nguyen V-n Sub,https://www.doordash.com/store/790726/?pickup=false,0.4,4.8,80,Calgary,$$,Southeast Asian,Vietnamese
236,The Spicy Amigos,https://www.doordash.com/store/100091/?pickup=false,0.8,4.5,379,Calgary,$$,North American,Mexican
237,Modern Burger,https://www.doordash.com/store/2305543/?pickup=false,0.3,4.3,64,Calgary,$$,,
238,Noto Gelato,https://www.doordash.com/store/1289572/?pickup=false,0.9,4.9,160,Calgary,$$,,
239,Mia Pasta,https://www.doordash.com/store/1715083/?pickup=false,0.3,4.5,166,Calgary,$,,
240,Aleppo Shawarma and Donair,https://www.doordash.com/store/567185/?pickup=false,1.4,4.5,169,Calgary,$$,Latin American & Global Fusion,Mediterranean
241,Sucre Patisserie & Cafe,https://www.doordash.com/store/189835/?pickup=false,0.8,4.7,269,Calgary,$$,,
